% Model:              cavity-set1-0.01.mph
% freq (Hz)                                       V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))                          V^2 (kg^2*m^6/(s^6*A^2))
1.0734421352873122E15                             8.333315744402281E14                              8.333272982508286E14                              8.333099777519118E14                              8.332406874998102E14                              8.329639869632232E14                              8.31863174702064E14                               8.275318300246855E14
1.0735516701990762E15                             8.333315739111496E14                              8.333272969742405E14                              8.33309973219595E14                               8.332406699102992E14                              8.329639173046478E14                              8.318628989209312E14                              8.275307553260575E14
1.0736612051108402E15                             8.333315733816618E14                              8.333272956969566E14                              8.333099686850346E14                              8.332406523122871E14                              8.329638476126618E14                              8.318626230081396E14                              8.275296801196555E14
1.0737707400226042E15                             8.333315728517631E14                              8.333272944189721E14                              8.333099641482306E14                              8.332406347057708E14                              8.329637778872394E14                              8.318623469635992E14                              8.275286044051358E14
1.0738802749343682E15                             8.333315723214562E14                              8.333272931402962E14                              8.333099596091752E14                              8.332406170907386E14                              8.329637081283496E14                              8.318620707872164E14                              8.275275281821561E14
1.0739898098461322E15                             8.33331571790735E14                               8.333272918609212E14                              8.33309955067868E14                               8.332405994671945E14                              8.329636383359778E14                              8.318617944789136E14                              8.275264514503696E14
1.0740993447578964E15                             8.333315712596048E14                              8.333272905808406E14                              8.333099505243069E14                              8.332405818351242E14                              8.329635685100979E14                              8.318615180385849E14                              8.275253742094372E14
1.0742088796696604E15                             8.333315707280624E14                              8.333272893000702E14                              8.333099459784942E14                              8.33240564194528E14                               8.329634986506894E14                              8.318612414661515E14                              8.275242964590052E14
1.0743184145814244E15                             8.333315701961068E14                              8.333272880185939E14                              8.333099414304215E14                              8.332405465453958E14                              8.329634287577281E14                              8.318609647615194E14                              8.275232181987399E14
1.0744279494931884E15                             8.333315696637411E14                              8.333272867364184E14                              8.333099368800974E14                              8.33240528887719E14                               8.329633588311921E14                              8.318606879245962E14                              8.275221394282908E14
